cre,gen,age,mar,hou,work,job,ind,sal,lb,aolu,tlr,ca,cl,pd,lu
good,1,49.27,2,2,5,2,5,16000,114554,49621,30.26,260000,172619,0,2
good,2,26.25,2,2,3,2,3,25000,414676,136270,14.2,500000,207421,0,1
bad,2,38.27,2,2,2,1,5,7000,139990,0,18.59,170000,0,5,1
good,2,41.27,1,2,3,1,3,16000,304036,285129,9.26,500000,1727300,6,2
bad,2,54.28,1,2,1,1,3,25617,1903715,17918,15.38,200000,13392,5,1
bad,2,37.27,2,1,1,2,3,150000,1194004,422300,32.5,370000,1159559,0,1
good,1,26.27,2,1,5,1,3,8000,47601,0,35.49,100000,0,6,1
good,1,32.27,2,2,5,1,2,15000,1119719,163813,49.7,260000,211000,9,1
bad,1,44.28,2,3,2,2,4,34000,195329,287876,50.71,370000,391678,2,1
good,1,38.28,2,3,5,2,2,15000,132177,75839,22.43,300000,104900,16,2
good,2,44.28,2,2,5,2,2,80000,3935931,180615,6.36,500000,758012,0,1
good,1,27.27,1,2,1,2,3,50000,176236,99438,58.93,400000,627525,0,2
good,2,38.28,2,3,5,2,2,20000,321120,29805,21.4,100000,98500,0,1
good,1,51.29,2,1,5,2,3,20000,2280132,258401,70.44,200000,867750,0,1
good,2,39.28,1,3,4,1,4,10000,40252,2184,13.35,95000,180100,0,1
good,2,46.29,2,3,5,2,3,50000,866823,450374,74.31,150000,816958,0,1
good,2,49.29,2,2,5,2,2,25000,232177,64900,33.67,300000,423100,1,2
good,2,40.28,2,3,5,2,3,30000,754821,67685,52.73,200000,110000,0,1
bad,2,47.3,2,2,5,2,2,200000,416029,431637,59.21,500000,1033000,3,2
bad,1,27.28,2,2,1,2,2,60000,214073,59881,32.56,300000,67700,10,1
good,2,43.3,2,2,5,2,3,200000,5113231,480967,6.97,500000,602000,0,1
good,2,28.28,2,2,1,2,2,50000,956773,266405,49.45,470000,266500,2,2
good,1,45.3,1,3,1,2,5,50000,132177,118653,28.07,300000,150000,10,1
good,1,26.29,2,2,1,2,2,20000,29041,97234,51.98,286000,125600,0,2
good,2,52.3,1,3,5,2,4,50000,207093,0,21.15,300000,60000,0,1
bad,1,44.3,2,2,1,1,2,15000,93034,24056,20.41,170000,27534,1,1
good,2,30.29,2,2,5,2,2,40000,963563,276299,27.11,250000,187701,1,1
good,1,41.3,1,2,5,1,2,20000,1044321,226685,62.81,180000,180000,4,2
good,2,44.3,2,2,5,2,2,40000,165495,241810,74.81,190000,422501,1,2
good,2,44.3,2,1,1,2,2,10000,295286,186220,43.19,120000,187000,4,1
good,2,48.3,2,2,5,2,3,30000,583529,135936,57.38,340000,143731,0,2
good,1,54.31,2,2,1,2,3,100000,3496728,283045,26.92,500000,893120,1,1
bad,2,27.29,1,3,5,1,3,50000,54818,462153,70.1,164000,592500,2,1
bad,2,41.3,2,2,5,2,2,30000,158375,61088,33.12,300000,60000,14,2
good,2,56.31,1,2,5,2,3,35000,188098,102981,21.46,400000,163000,0,1
good,2,45.3,2,1,1,2,2,80000,691074,101957,48.95,300000,386000,1,2
good,2,40.3,2,1,1,2,3,58000,2034722,60240,31.73,216000,194500,0,1
good,1,43.3,2,2,5,2,3,50000,471039,342650,48.74,300000,759640,0,1
bad,2,40.31,2,2,1,1,2,15000,102337,36507,42,170000,37000,14,2
good,2,45.32,2,2,5,2,2,100000,2670664,473150,57.93,500000,1634900,1,2
good,1,39.31,2,2,5,2,3,20000,703735,55909,20.33,300000,100000,0,1
